A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 109 terminé | Score : 1140.00 | Total steps : 10659
Épisode 110 terminé | Score : 340.00 | Total steps : 10714
Épisode 111 terminé | Score : 630.00 | Total steps : 10801
Épisode 112 terminé | Score : 1140.00 | Total steps : 10937
Épisode 113 terminé | Score : 260.00 | Total steps : 10991
Épisode 114 terminé | Score : 420.00 | Total steps : 11062
Épisode 115 terminé | Score : 820.00 | Total steps : 11180
Épisode 116 terminé | Score : 240.00 | Total steps : 11240
Épisode 117 terminé | Score : 520.00 | Total steps : 11323
Épisode 118 terminé | Score : 1140.00 | Total steps : 11462
Épisode 119 terminé | Score : 260.00 | Total steps : 11516
Épisode 120 terminé | Score : 430.00 | Total steps : 11587
Épisode 121 terminé | Score : 1140.00 | Total steps : 11729
Épisode 122 terminé | Score : 340.00 | Total steps : 11784
Épisode 123 terminé | Score : 250.00 | Total steps : 11855
Épisode 124 terminé | Score : 1140.00 | Total steps : 11994
Épisode 125 terminé | Score : 340.00 | Total steps : 12049
Épisode 126 terminé | Score : 320.00 | Total steps : 12140
Épisode 127 terminé | Score : 1140.00 | Total steps : 12276
Épisode 128 terminé | Score : 340.00 | Total steps : 12333
Épisode 129 terminé | Score : 320.00 | Total steps : 12442
Épisode 130 terminé | Score : 940.00 | Total steps : 12640
Épisode 131 terminé | Score : 510.00 | Total steps : 12714
Épisode 132 terminé | Score : 170.00 | Total steps : 12757
Épisode 133 terminé | Score : 940.00 | Total steps : 12955
Épisode 134 terminé | Score : 510.00 | Total steps : 13029
Épisode 135 terminé | Score : 420.00 | Total steps : 13143
Épisode 136 terminé | Score : 1140.00 | Total steps : 13279
Épisode 137 terminé | Score : 510.00 | Total steps : 13353
Épisode 138 terminé | Score : 980.00 | Total steps : 13454

C:\Users\jcpro\OneDrive\Documents\Ma maitrise\seminaire\PacManPPO>python src/test_agent_ppo.py
A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 1 terminé | Score : 1140.00 | Total steps : 135
Épisode 2 terminé | Score : 340.00 | Total steps : 190
Épisode 3 terminé | Score : 350.00 | Total steps : 274
Épisode 4 terminé | Score : 1140.00 | Total steps : 409
Épisode 5 terminé | Score : 340.00 | Total steps : 464
Épisode 6 terminé | Score : 200.00 | Total steps : 522
Épisode 7 terminé | Score : 1140.00 | Total steps : 658
Épisode 8 terminé | Score : 340.00 | Total steps : 715
Épisode 9 terminé | Score : 240.00 | Total steps : 781
Épisode 10 terminé | Score : 1140.00 | Total steps : 922
Épisode 11 terminé | Score : 340.00 | Total steps : 977
Épisode 12 terminé | Score : 340.00 | Total steps : 1061
Épisode 13 terminé | Score : 940.00 | Total steps : 1258
Épisode 14 terminé | Score : 510.00 | Total steps : 1332
Épisode 15 terminé | Score : 850.00 | Total steps : 1413
Épisode 16 terminé | Score : 940.00 | Total steps : 1613
Épisode 17 terminé | Score : 510.00 | Total steps : 1687
Épisode 18 terminé | Score : 870.00 | Total steps : 1749
Épisode 19 terminé | Score : 940.00 | Total steps : 1946
Épisode 20 terminé | Score : 510.00 | Total steps : 2020
Épisode 21 terminé | Score : 170.00 | Total steps : 2063
Épisode 22 terminé | Score : 940.00 | Total steps : 2263
Épisode 23 terminé | Score : 510.00 | Total steps : 2337
Épisode 24 terminé | Score : 170.00 | Total steps : 2380
Épisode 25 terminé | Score : 1140.00 | Total steps : 2518
Épisode 26 terminé | Score : 340.00 | Total steps : 2575
Épisode 27 terminé | Score : 240.00 | Total steps : 2637
Épisode 28 terminé | Score : 1140.00 | Total steps : 2772
Épisode 29 terminé | Score : 340.00 | Total steps : 2827
Épisode 30 terminé | Score : 680.00 | Total steps : 2952
Épisode 31 terminé | Score : 1140.00 | Total steps : 3093
Épisode 32 terminé | Score : 340.00 | Total steps : 3148
Épisode 33 terminé | Score : 380.00 | Total steps : 3247
Épisode 34 terminé | Score : 1140.00 | Total steps : 3382
Épisode 35 terminé | Score : 340.00 | Total steps : 3437
Épisode 36 terminé | Score : 190.00 | Total steps : 3500
Épisode 37 terminé | Score : 1140.00 | Total steps : 3641
Épisode 38 terminé | Score : 260.00 | Total steps : 3695
Épisode 39 terminé | Score : 480.00 | Total steps : 3792
Épisode 40 terminé | Score : 1140.00 | Total steps : 3933
Épisode 41 terminé | Score : 340.00 | Total steps : 3990
Épisode 42 terminé | Score : 240.00 | Total steps : 4056
Épisode 43 terminé | Score : 1140.00 | Total steps : 4191
Épisode 44 terminé | Score : 510.00 | Total steps : 4265
Épisode 45 terminé | Score : 280.00 | Total steps : 4340
